group,runs,feasible_rate,optimal_rate,ub_mean,ub_median,ub_min,ub_max,ub_stddev,lb_mean,lb_median,lb_min,lb_max,lb_stddev,gap_mean,gap_median,gap_min,gap_max,gap_stddev,runtime_mean,runtime_median,runtime_min,runtime_max,runtime_stddev,nodes_mean,nodes_median,nodes_min,nodes_max,nodes_stddev,root_initial_bound_mean,root_initial_bound_median,root_initial_bound_min,root_initial_bound_max,root_initial_bound_stddev,root_final_bound_mean,root_final_bound_median,root_final_bound_min,root_final_bound_max,root_final_bound_stddev,root_improvement_mean,root_improvement_median,root_improvement_min,root_improvement_max,root_improvement_stddev,root_runtime_mean,root_runtime_median,root_runtime_min,root_runtime_max,root_runtime_stddev,warm_initial_ub_mean,warm_initial_ub_median,warm_initial_ub_min,warm_initial_ub_max,warm_initial_ub_stddev,warm_runtime_mean,warm_runtime_median,warm_runtime_min,warm_runtime_max,warm_runtime_stddev,alns_start_ub_mean,alns_start_ub_median,alns_start_ub_min,alns_start_ub_max,alns_start_ub_stddev,alns_best_ub_mean,alns_best_ub_median,alns_best_ub_min,alns_best_ub_max,alns_best_ub_stddev,alns_improvement_mean,alns_improvement_median,alns_improvement_min,alns_improvement_max,alns_improvement_stddev,alns_runtime_mean,alns_runtime_median,alns_runtime_min,alns_runtime_max,alns_runtime_stddev,callback_time_mean,callback_time_median,callback_time_min,callback_time_max,callback_time_stddev,open_hours_mean,open_hours_median,open_hours_min,open_hours_max,open_hours_stddev,concentration_mean,concentration_median,concentration_min,concentration_max,concentration_stddev,distance_per_box_mean,distance_per_box_median,distance_per_box_min,distance_per_box_max,distance_per_box_stddev,workload_cv_mean,workload_cv_median,workload_cv_min,workload_cv_max,workload_cv_stddev,conflict_per_box_mean,conflict_per_box_median,conflict_per_box_min,conflict_per_box_max,conflict_per_box_stddev,reserved_utilization_mean,reserved_utilization_median,reserved_utilization_min,reserved_utilization_max,reserved_utilization_stddev
large,13,0.8461538461538461,0.0,44713.16973587233,46276.159701296885,42021.254155437266,46974.24920169137,2158.7163947073295,18411.603500714733,1036.6666666666667,0.5479782399433355,40533.316139097646,19224.104881864154,0.4930997207106194,0.3164069608243745,0.035409176766493314,0.9780008649024352,0.4488861818247396,45.77265236151512,45.76687569997739,45.09200599999167,46.26559319999069,0.337105893012367,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.9042848699842579,0.0,0.0,2.263268000097014,1.107518874242996,,,,,,3.6818181818181817,6.75,0.0,6.75,3.361024784690792,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.733560179860797,8.156790200388059,5.621410095482133,14.854441204108298,2.528771563557017,4384.909090909091,4302.0,4038.0,4632.0,216.72330685816232,177.1818181818182,183.0,146.0,199.0,18.254853311420707,281.9952963925074,337.3254154541665,207.17330063996104,349.2067079000661,66.81952231801984,0.7358545610882533,0.681269008418785,0.6282585688954092,0.8416508914254618,0.08881154872871581,5.932945404064781,6.0722005505199395,5.744581858434076,6.0966257689748256,0.169322403654227,0.6958117628795927,0.6958117628795927,0.6958117628795927,0.6958117628795927,0.0
medium,13,1.0,0.5384615384615384,41264.49539187808,39722.6007410641,39586.019888562114,47785.77198942365,2497.4883594079206,23547.695771682003,38452.40457155213,1333.7172729322817,38548.56429549726,17699.16066158823,0.4126636419351986,0.029983225355215033,0.02620762572204478,0.9717101598326996,0.44586380823240207,21.901300453849565,21.68149450002238,10.096168100018986,30.187031400040723,8.026575963611075,7.666666666666667,1.0,1.0,63.0,17.40370330960882,38159.08206172567,38135.506551157596,38135.506551157596,38229.808593429894,40.83398211828222,,,,,,,,,,,0.39948716000653806,0.0,0.0,1.1088543999940157,0.4913122571524815,41567.30360338901,41031.534931214985,41031.534931214985,42638.84094773705,757.6913224831269,0.7521942000074143,1.3095385999185964,0.0,1.440659400075674,0.6876767427610272,41567.30360338901,41031.534931214985,41031.534931214985,42638.84094773705,757.6913224831269,40446.64947347867,40356.856079886966,39951.557409334055,41031.534931214985,445.51636624098506,611.2658890420029,0.0,0.0,2295.56770932769,886.1497871910151,2.775704727275297,0.0,0.0,7.697702500037849,3.6720599110367607,5.734159059578087,5.896513999265153,1.1825835991185158,10.56056219828315,3.2550303178031705,795.2307692307692,791.9999999999994,666.0,960.0,72.36887755015842,35.76923076923077,37.0,21.0,48.0,6.541628192452092,163.52504833981993,137.8466871103556,133.07403537142193,276.11058490817186,45.041522587365286,0.5804022009710754,0.6538628688122753,0.2963840501591113,0.7092156075233303,0.1286726752677431,5.0889093672471795,4.958724203192521,4.919302734548523,5.7065661976323785,0.23313528748635592,0.5573877497777369,0.5573877497777369,0.5573877497777369,0.5573877497777369,0.0
small,21,1.0,0.8571428571428571,47275.730305041296,47359.02405289504,46909.80685419473,48392.09862285434,337.9713555646234,44147.61524222522,46030.542007762764,3233.53597341819,46908.404056826446,9177.09026549024,0.06516951403337515,0.019615708431303624,2.9904138651642563e-05,0.9331804971175383,0.19450451682906214,5.563893357131054,3.959770500077866,0.0776277999393642,15.01940529991407,4.965696109710168,1707.45,1.0,1.0,16360.0,3943.285729883139,46392.60463283477,46212.75298079862,46212.75298079862,46692.35738622836,232.18748437463572,,,,,,,,,,,0.034698337491136044,0.031798899988643825,0.0,0.0746878000209108,0.034775023594530434,48771.32024857356,47446.86961279705,47446.86961279705,50537.25442960891,1529.3438621878815,0.0373996842137881,0.04815509996842593,0.0,0.057913500000722706,0.022731207589239494,48771.32024857356,47446.86961279705,47446.86961279705,50537.25442960891,1529.3438621878815,47358.274184238646,47446.86961279705,46909.80685419473,47451.609931392544,185.63853893378203,1041.1918368783595,0.0,0.0,3627.447575414182,1538.3505184719484,2.3708239368432644,3.7518969000084326,0.0,3.7564354999922216,1.8107471902196528,0.43816956335649593,0.02693975024158135,0.007307700114324689,1.4767098019365221,0.5217239097232742,109.42857142857143,114.0,95.99999999999999,120.0,10.781692722350405,9.047619047619047,10.0,8.0,10.0,0.9988655696858586,111.1708411895336,112.78563493431491,103.37107556537313,144.37220560781293,8.630676489872727,0.5874632680103032,0.6104933083132532,0.3332663260342989,0.6162067120774855,0.05941769659017813,4.476206041999345,4.433265174908945,4.4282700788585805,4.54827067050057,0.051226215275445484,0.43211594986540586,0.43211594986540586,0.43211594986540586,0.43211594986540586,0.0
