instance_id,configuration,budget,status,feasible,time_to_first_feasible,primal_integral,gap_integral,final_gap,final_ub,final_lb,nodes,cuts,sp_solves,alns_improvement,exception
S01,C0_bbc_core,20,TIME_LIMIT,True,0.20288240001536906,3.3188234712555285,17.139899103845615,0.8636784362117814,22811.418947959428,3109.6883032140286,710.0,112,112,0.0,False
S01,C1_core_analytic,20,TIME_LIMIT,True,0.1988982999464497,3.4090431014754277,11.465622249481932,0.5745891363959813,22851.73035536364,9721.374345321416,718.0,104,104,0.0,False
S01,C2_core_aggregate,20,TIME_LIMIT,True,0.23355260002426803,1.4527309834397193,2.399522005605942,0.08770967289743371,20437.63388302772,18645.05570034985,610.0,89,90,0.0,False
S01,C3_core_both_lb,20,TIME_LIMIT,True,0.23525690007954836,1.4378063284255083,2.3856480955377912,0.08743792696458262,20437.63388302772,18650.609544234663,610.0,89,90,0.0,False
S01,C4_both_lb_root,20,TIME_LIMIT,True,0.6515542999841273,1.4050627875577342,2.30070354703802,0.09223146551125531,20558.764485174284,18662.59950760591,639.0,73,68,0.0,False
S01,C5_both_lb_warm,20,TIME_LIMIT,True,3.0843005999922752,0.7322531332889908,1.6295371373987644,0.08026908017068456,20199.55214413818,18578.152673668428,583.0,69,69,0.0,False
S01,C6_both_lb_warm_alns,20,TIME_LIMIT,True,3.086773799965158,0.2685978440719023,0.8494443659850472,0.06128117356806715,19781.037349607752,18568.83216643002,601.0,58,58,785.8215059445138,False
S01,C7_both_lb_root_warm_alns,20,TIME_LIMIT,True,3.5048975999234244,0.29282236476606044,1.6026877204407226,0.06517417240134393,19919.70682991569,18621.456422798536,403.0,67,61,785.8215059445138,False
S01,C8_both_lb_root_warm_alns_valid,20,OPTIMAL,True,1.3725402001291513,0.09264491175041493,0.7983581685508842,0.04989112913932331,19640.29167951939,18660.41535100251,1.0,18,12,556.786900310195,False
M01,C0_bbc_core,60,TIME_LIMIT,True,1.5866913999198005,23.82331088642794,55.14451552440462,0.9408984998385803,21145.62160676506,1249.7379588055446,1.0,26,27,0.0,False
M01,C1_core_analytic,60,TIME_LIMIT,True,1.5476524999830872,23.97047536311372,45.425063718885404,0.7730162539822721,21399.428007960007,4857.322331883445,1.0,30,30,0.0,False
M01,C2_core_aggregate,60,TIME_LIMIT,True,1.6436170999659225,2.441469539626369,9.064314216651846,0.11302978028295213,15353.692279446084,13618.267814568235,1.0,16,17,0.0,False
M01,C3_core_both_lb,60,TIME_LIMIT,True,1.6484531000023708,2.4511717777792024,9.072521294140127,0.11302978028295213,15353.692279446084,13618.267814568235,1.0,16,17,0.0,False
M01,C4_both_lb_root,60,TIME_LIMIT,True,4.792406699853018,1.8812368737470329,7.727372414632532,0.11128680167182904,15306.970654924331,13603.50684745326,1.0,20,16,0.0,False
M01,C5_both_lb_warm,60,TIME_LIMIT,True,9.499200800084509,6.998246114945803,11.118284808205399,0.18229004712658436,16648.31646472478,13613.494071791809,1.0,12,13,0.0,False
M01,C6_both_lb_warm_alns,60,TIME_LIMIT,True,9.490507900016382,5.9510012295490515,6.71292855308515,0.1564725677100517,16058.503460917978,13545.78819080739,1.0,24,24,1434.85411079607,False
M01,C7_both_lb_root_warm_alns,60,TIME_LIMIT,True,12.602160600014031,5.364716463728895,9.968916194658872,0.15712211573829618,16030.732451640408,13511.949852004103,1.0,20,17,1505.0417577949338,False
M01,C8_both_lb_root_warm_alns_valid,60,TIME_LIMIT,True,12.53529630007688,3.9756969190674187,8.76912357258956,0.13447520490412349,15671.839988473897,13564.366094799234,1.0,16,13,2256.792029038217,False
L01,C0_bbc_core,180,TIME_LIMIT,True,56.79245399998035,78.33816379334263,119.09573240470445,0.966485973702749,26482.24701286552,887.5267227994697,1.0,11,11,0.0,False
L01,C1_core_analytic,180,TIME_LIMIT,True,58.847355099976994,78.57564963159933,106.50909407828748,0.8789108023298675,26752.6680923924,3239.4591148431496,1.0,11,11,0.0,False
L01,C2_core_aggregate,180,TIME_LIMIT,True,63.4743909999961,1.7501884648273363,17.92027578697734,0.15256138565076344,16477.75357254662,13963.88465510709,1.0,12,12,0.0,False
L01,C3_core_both_lb,180,TIME_LIMIT,True,64.42798109992873,1.733617427984006,17.77174519293657,0.15256138565076344,16477.75357254662,13963.88465510709,1.0,12,12,0.0,False
L01,C4_both_lb_root,180,TIME_LIMIT,True,73.47830820002127,1.6103247906743137,16.390424623815154,0.15256138565076344,16477.75357254662,13963.88465510709,1.0,12,12,0.0,False
L01,C5_both_lb_warm,180,TIME_LIMIT,True,92.11157250008546,1.3566821255566557,13.546659202024337,0.15256138565076344,16477.75357254662,13963.88465510709,1.0,11,11,0.0,False
L01,C6_both_lb_warm_alns,180,TIME_LIMIT,True,91.65302960004192,1.3670872422331906,13.620116202316037,0.15263628103491916,16479.20998100053,13963.88465510709,1.0,10,10,0.0,False
L01,C7_both_lb_root_warm_alns,180,TIME_LIMIT,True,103.57370800001081,1.1999439185230374,11.796716084782194,0.15299029478086754,16486.097584318057,13963.88465510709,1.0,8,8,0.0,False
L01,C8_both_lb_root_warm_alns_valid,180,TIME_LIMIT,True,114.4645134001039,0.178102096134579,9.380019375740131,0.14080546373686614,16257.552167540163,13968.399995363377,1.0,8,8,0.0,False
