instance_id,configuration,wall_clock,model_build,solve,root,warm,alns,main,callback,sp_total
S01,C0_bbc_core,20.089338900055736,0.056501500075683,19.881046399939805,0,0.0,0.0,20.01419190003071,6.1365347016835585,0.7767134996829554
S01,C1_core_analytic,20.080246999976225,0.0538735999725759,19.872438699938357,0,0.0,0.0,20.002560299937613,6.046004904084839,0.731091299559921
S01,C2_core_aggregate,20.079816399957053,0.06807410006877035,19.85247589997016,0,0.0,0.0,20.001581100048497,5.3234496981604025,0.4664869998814538
S01,C3_core_both_lb,20.084872500039637,0.07004360004793853,19.857250800007023,0,0.0,0.0,20.007546800072305,5.282582399435341,0.4571890990482643
S01,C4_both_lb_root,20.095644199987873,0.08099430007860065,19.447758099995553,0.40414179989602417,0.0,0.0,19.608246400021017,4.092769000330009,0.33581330033484846
S01,C5_both_lb_warm,20.09504290006589,0.08617130003403872,16.679711500066333,0,3.0843005999922752,0.0,16.922787000075914,4.004516799817793,0.3239564000396058
S01,C6_both_lb_warm_alns,20.07686430006288,0.08574949996545911,11.623448700062,0,3.086773799965158,5.00841810007114,11.86521930003073,3.2541795008582994,0.2162571990629658
S01,C7_both_lb_root_warm_alns,20.16033049998805,0.10935270006302744,11.1974461999489,0.4183851999696344,3.08651239995379,5.0512430999660864,11.466099399956875,3.558965200325474,0.27681010006926954
S01,C8_both_lb_root_warm_alns_valid,8.76694989996031,0.09102619998157024,2.004151599947363,0.4674935000948608,0.9050467000342906,5.0311792000429705,2.241949899937026,0.80584059888497,0.055897600133903325
M01,C0_bbc_core,60.45879559998866,0.41353220003657043,58.94338379998226,0,0.0,0.0,60.00259649998043,16.220284798764624,5.436292399768718
M01,C1_core_analytic,60.456305300001986,0.400456800009124,58.97792589990422,0,0.0,0.0,60.01255649991799,17.77195890143048,6.770299899624661
M01,C2_core_aggregate,60.71000029996503,0.4302200999809429,59.180779300048016,0,0.0,0.0,60.27176040003542,9.02749220165424,1.6470718997297809
M01,C3_core_both_lb,60.737116800039075,0.434015000006184,59.23440389998723,0,0.0,0.0,60.28955470002256,9.028033798676915,1.6482250998960808
M01,C4_both_lb_root,60.43669140001293,0.5194021000061184,55.66437809995841,3.1261359999189153,0.0,0.0,56.841008199960925,8.020571899833158,1.5588521001627669
M01,C5_both_lb_warm,70.48774219991174,0.4543554000556469,58.98641590005718,0,9.499200800084509,0.0,60.51037959998939,6.568138503120281,0.7564938002033159
M01,C6_both_lb_warm_alns,60.593367900000885,0.460279899998568,33.71002070000395,0,9.490507900016382,15.23661899997387,35.2163894000696,10.74219050235115,0.9101432003080845
M01,C7_both_lb_root_warm_alns,60.46290559996851,0.5480207999935374,30.420417300076224,3.1380933999316767,9.464067200082354,15.082673399941996,32.081980300019495,7.733713502064347,0.5986878999974579
M01,C8_both_lb_root_warm_alns_valid,60.447283799992874,0.5600330999586731,30.383296499960124,3.044345600064844,9.490950700012036,15.22565660008695,32.008481799974106,5.745710999122821,0.41451239970047027
L01,C0_bbc_core,182.65824080002494,2.7741656000725925,172.73792300000787,0,0.0,0.0,180.00913550006226,38.17020300379954,10.828798100003041
L01,C1_core_analytic,182.621355600073,2.824519000016153,172.8427738000173,0,0.0,0.0,180.010222800076,36.82902879174799,9.0364181001205
L01,C2_core_aggregate,182.73730589996558,2.80787220003549,172.8459844000172,0,0.0,0.0,180.0391564000165,37.53420179546811,7.325944000156596
L01,C3_core_both_lb,182.68464999995194,3.100425799959339,172.5414401999442,0,0.0,0.0,180.03156569995917,37.15332289272919,7.354978900169954
L01,C4_both_lb_root,185.8311733000446,2.882558700046502,166.50283969996963,9.020779800019227,0.0,0.0,173.76172369997948,37.13956519623753,7.290868099895306
L01,C5_both_lb_warm,183.82761400006711,2.9811763000907376,146.32408950000536,0,27.0,0.0,153.83544090006035,33.28317880269606,6.065557199879549
L01,C6_both_lb_warm_alns,185.2092784999404,2.9399020000128075,147.6019832000602,0,27.0,0.0,155.09304180007894,32.73460440093186,6.320880400133319
L01,C7_both_lb_root_warm_alns,184.01850290002767,2.9708532999502495,137.1717630000785,9.022810299997218,27.0,0.0,144.65680450003128,25.12504049949348,4.776293400209397
L01,C8_both_lb_root_warm_alns_valid,182.74557120003738,3.0721605999860913,135.73172989999875,9.019773400039412,27.0,0.0,143.2937496000668,23.335796585539356,2.796138600097038
