instancia.35N.6B.6P.100D, 2777.43 secs, FO value: 84.00
instancia.45N.4B.6P.100D, 1754.92 secs, FO value: 191.00
instancia.40N.5B.6P.100D, 1525.43 secs, FO value: 159.00
instancia.35N.5B.5P.100D, 1198.60 secs, FO value: 73.00
instancia.40N.4B.5P.100D, 989.14 secs, FO value: 187.00
instancia.40N.5B.5P.100D, 978.67 secs, FO value: 123.00
instancia.45N.5B.5P.100D, 891.31 secs, FO value: 106.00
instancia.45N.4B.5P.100D, 794.10 secs, FO value: 153.00
instancia.30N.5B.5P.100D, 714.39 secs, FO value: 67.00
instancia.20N.6B.5P.100D, 354.29 secs, FO value: 48.00
instancia.50N.4B.4P.100D, 258.69 secs, FO value: 122.00
instancia.25N.4B.6P.100D, 236.77 secs, FO value: 105.00
instancia.15N.6B.6P.100D, 144.76 secs, FO value: 48.00
instancia.10N.5B.6P.100D, 5.50 secs, FO value: 38.00
