instance_id,configuration,feasible,ub,lb,gap,target_gap,distance_to_target,time_to_first_feasible,time_to_best,primal_integral,gap_integral,total_runtime,model_build,aggregate_build,valid_inequality_build,callback,sp_total,nodes,cuts,aggregate_variable_count,aggregate_constraint_count,checker_pass,lb_le_ub,exact_recourse_consistent,exception
S01,algorithm-candidate-v1,True,20378.393655283995,18644.27452822827,0.08509596764051508,0.05,0.03509596764051508,0.2720625000074506,20.668463099980727,1.768774194121309,3.4555034607137096,30.19718819996342,0.07914389995858073,0.013194199884310365,7.997732609510422e-07,6.754781511146575,0.6386215987149626,609.0,92,228,529,True,True,True,False
S01,V2A_valid,True,20095.525597401254,18703.895948686593,0.06925072160812883,0.05,0.019250721608128823,0.7988935001194477,29.579135700128973,2.3455219876159052,3.9252749920840033,30.20587999979034,0.2602599000092596,0.0395306998398155,0.008404399966821074,14.3757496944163,1.0318216001614928,543.0,78,228,529,True,True,True,False
S01,V2B_pod_size_aggregate,True,20420.21548766463,18724.64945827806,0.08303369915027688,0.05,0.033033699150276874,0.8124953000806272,23.670173299964517,3.6416920769857093,4.9705386919722825,30.244940100004897,0.25911390013061464,0.06694609997794032,3.200024366378784e-06,8.865579103585333,0.667276399442926,250.0,44,480,865,True,True,True,False
S01,V2C_pod_size_aggregate_valid,True,19837.1657388925,18959.250439822066,0.044256085300996666,0.05,0,0.23331789998337626,14.640440599992871,0.6776869795886357,2.1686560466963,30.08554990007542,0.0756332001183182,0.016630199970677495,0.0023605998139828444,6.520373216597363,0.48152110166847706,2278.0,119,480,865,True,True,True,False
M01,algorithm-candidate-v1,True,15087.37787699342,13634.926172373172,0.09626932635094103,0.08,0.016269326350941027,1.5837520000059158,76.25346409995109,3.4366747949951733,11.58856018173091,90.47809039987624,0.4237941999454051,0.0346522000618279,7.00121745467186e-07,12.632853392511606,2.087858300190419,1.0,24,588,1381,True,True,True,False
M01,V2A_valid,True,14983.109711490992,13652.375117020156,0.08881564775904004,0.08,0.008815647759040035,1.824629400158301,25.07838140008971,2.0022639159990265,10.12708122512364,90.94568570004776,0.5016746001783758,0.03816109988838434,0.019034700002521276,15.738039498683065,2.741524900775403,1.0,29,588,1381,True,True,True,False
M01,V2B_pod_size_aggregate,True,15224.537738618023,13679.433806197025,0.10148774031422589,0.08,0.021487740314225887,1.7535890000872314,50.400679799960926,4.486943220044028,12.538235797509872,90.58079080004245,0.48263139999471605,0.06672500004060566,8.00006091594696e-07,10.130366682307795,1.8460195001680404,1.0,18,1956,2977,True,True,True,False
M01,V2C_pod_size_aggregate_valid,True,15147.98778447387,13695.396325553767,0.09589336086004471,0.08,0.01589336086004471,1.7975504999049008,58.01030209986493,3.224265446224065,11.272210878071343,94.5667005002033,0.5093630999326706,0.0675329000223428,0.011326399864628911,11.685505096334964,1.9357707002200186,1.0,21,1956,2977,True,True,True,False
L01,algorithm-candidate-v1,True,16507.651224003,13963.88465510708,0.1540962148023304,0.1,0.0540962148023304,74.85574340005405,203.83519150014035,2.6786691711248816,25.735754254911225,243.20637229993008,3.489896399900317,0.1293007000349462,8.998904377222061e-07,66.87757839006372,9.79378960095346,1.0,20,1452,3493,True,True,True,False
L01,V2A_valid,True,16277.772574931598,13968.399995363354,0.14187276354534942,0.1,0.04187276354534941,102.51276289997622,131.76274939998984,0.1280172058202141,19.615053364796655,242.98838569992222,3.03503239993006,0.1302680999506265,0.04538629995658994,54.39056900772266,5.102258300408721,1.0,19,1452,3493,True,True,True,False
L01,V2B_pod_size_aggregate,False,,,,0.1,,,,0.0,0.0,240.41990580013953,3.2944439998827875,0.28378110006451607,8.00006091594696e-07,0.007297202944755554,0,1.0,0,8052,10753,False,True,False,False
L01,V2C_pod_size_aggregate_valid,False,,,,0.1,,,,0.0,0.0,240.3468692000024,3.863579099997878,0.3456609998829663,0.09277089987881482,0.009698697831481695,0,1.0,0,8052,10753,False,True,False,False
