instancia.30N.6B.6P.100D, 4802.40 secs, FO value: 60.00,gap: 3.333333
instancia.30N.6B.5P.100D, 4800.51 secs, FO value: 85.00,gap: 75.294118
instancia.50N.4B.6P.100D, 17112.23 secs, FO value: 205.00,gap: 93.087558
instancia.40N.4B.6P.100D, 17940.04 secs, FO value: 239.00,gap: 99.227799
instancia.50N.4B.5P.100D, 7846.48 secs, FO value: 160.00,gap: 99.418605
instancia.25N.6B.5P.100D, 4800.21 secs, FO value: 10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,gap: 100.000000
instancia.25N.6B.6P.100D, 4800.02 secs, FO value: 10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,gap: 100.000000
instancia.35N.6B.4P.100D, 4800.66 secs, FO value: 10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,gap: 100.000000
instancia.35N.6B.5P.100D, 4801.92 secs, FO value: 10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,gap: 100.000000
instancia.40N.6B.4P.100D, 4801.03 secs, FO value: 10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,gap: 100.000000
instancia.40N.6B.5P.100D, 4800.96 secs, FO value: 10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,gap: 100.000000
instancia.40N.6B.6P.100D, 4800.99 secs, FO value: 10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,gap: 100.000000
