configuration,runs,open_share_mean,concentration_share_mean,distance_share_mean,balance_share_mean,conflict_share_mean,dominant_rate,extreme_rate
C0_bbc_core,1,0.07005821613862061,0.06672211060821011,0.42014881527732933,0.11628027530621142,0.3267905826696285,0,0
C2_core_aggregate,1,0.14257507019006752,0.1139431913404228,0.49913516845688527,0.09353674338915831,0.15080982662346604,0,0
C3_core_both_lb,1,0.14257507019006752,0.1139431913404228,0.49913516845688527,0.09353674338915831,0.15080982662346604,0,0
C7_both_lb_root_warm_alns,1,0.09860176336185333,0.06353206402181272,0.3563967019885245,0.1558021379753993,0.32566733265241016,0,0
C8_both_lb_root_warm_alns_valid,1,0.09860176336185333,0.06353206402181272,0.3563967019885245,0.1558021379753993,0.32566733265241016,0,0
classical_benders_baseline,1,0.0528188533056186,0.06602356663202325,0.2662321354414679,0.06933456902690098,0.5455908755939893,0,0
direct_alns_baseline,1,0.16707801216141996,0.14375218578823473,0.4564716735500921,0.08405851263947497,0.14863961586077837,0,0
direct_baseline,1,0.08610415099696705,0.1297081761813286,0.43031984371879023,0.03927897734843781,0.3145888517544764,0,0
