instance_id,seed,configuration,status,feasible,ub,lb,gap,primal_integral,gap_integral,time_to_first_feasible,runtime
S01,0,C0_bbc_core,TIME_LIMIT,True,22751.894112818845,3110.3155428755454,0.8632942150902885,5.12727027322742,25.770731431255747,0.20656939991749823,30.082678199978545
S01,0,C2_core_aggregate,TIME_LIMIT,True,20437.63388302772,18728.85772610769,0.0836092948283544,2.045645664053004,3.2460967608775064,0.255792299984023,30.08644089999143
S01,0,C5_both_lb_warm,TIME_LIMIT,True,19783.17734705456,18703.177633911095,0.05459182285014807,0.45953844208242145,1.6582354922084805,3.393720699939877,30.081623999984004
S01,0,C6_both_lb_warm_alns,TIME_LIMIT,True,19574.794181365367,18658.665798773716,0.046801431172327636,0.1894775898201287,0.9768831717973014,3.5995518000563607,30.080879600020126
S01,0,C8_both_lb_root_warm_alns_valid,TIME_LIMIT,True,19545.15114513402,18798.521278471413,0.03820026057196738,0.1843513442641959,1.857286346280966,1.2885459999088198,30.081954700057395
S01,1,C0_bbc_core,TIME_LIMIT,True,21727.905565736342,3046.745864640074,0.8597772870734206,3.925042139302004,25.69886432620839,0.21284779999405146,30.09053720009979
S01,1,C2_core_aggregate,TIME_LIMIT,True,20413.474701213356,18760.11129924988,0.08099372723964544,1.6282273881025244,2.884801469913214,0.23122549999970943,30.08608329994604
S01,1,C5_both_lb_warm,TIME_LIMIT,True,19895.540478290517,18733.19988926663,0.05842216703246647,0.7810054851532069,1.9537391265975839,3.2340616999426857,30.089675799943507
S01,1,C6_both_lb_warm_alns,TIME_LIMIT,True,19645.95756539804,18692.02094729092,0.0485563818883161,0.28372346681106136,1.0439511227929712,3.441734499996528,30.08396710001398
S01,1,C8_both_lb_root_warm_alns_valid,TIME_LIMIT,True,19716.44900119713,18745.011776697254,0.04927039470651592,0.3528095005867534,2.0242260506903422,1.265875600045547,30.08169879997149
M01,0,C0_bbc_core,TIME_LIMIT,True,20051.229464532687,1250.645547438567,0.9376274881472605,35.951728750547765,83.36162479117121,1.5689454999519512,90.48314659995958
M01,0,C2_core_aggregate,TIME_LIMIT,True,15315.764164416361,13634.44860664567,0.1097767985796588,3.4602948600613304,12.45538636820037,1.6519965999759734,90.47787719999906
M01,0,C5_both_lb_warm,TIME_LIMIT,True,16648.31646472478,13636.687533792063,0.18089690554080318,10.184215578587407,15.799951267525902,13.963212399976328,90.49870019999798
M01,0,C6_both_lb_warm_alns,TIME_LIMIT,True,15607.12587185026,13597.106839790986,0.12878854496103206,6.195293044061709,7.7173418371371305,14.015234099933878,90.49565679999068
M01,0,C8_both_lb_root_warm_alns_valid,TIME_LIMIT,True,15917.227423671782,13645.785373714167,0.14270337348950435,6.457889206171815,13.034800321564116,17.619430600083433,90.51137550000567
M01,1,C0_bbc_core,TIME_LIMIT,True,20041.28411017426,1247.8905795192165,0.9377340008425057,31.93063762860828,83.12337224386653,1.6644692999543622,90.49898409994785
M01,1,C2_core_aggregate,TIME_LIMIT,True,15152.636673694418,13637.427898451579,0.0999963773877917,2.4891673794773563,11.748315108324753,1.7250296999700367,90.50026719993912
M01,1,C5_both_lb_warm,TIME_LIMIT,True,16122.92442579232,13629.123648138304,0.15467422111491197,7.736236736526016,14.13503955281774,13.983380499994382,90.58684539992828
M01,1,C6_both_lb_warm_alns,TIME_LIMIT,True,16203.99391907207,13615.086916138489,0.1597696849223353,8.572645214502561,9.648238720013264,13.978031700011343,90.46684749994893
M01,1,C8_both_lb_root_warm_alns_valid,TIME_LIMIT,True,15348.68336061062,13642.09512040392,0.1111879240786427,3.648727204287181,10.880117945752676,17.507264599902555,92.83448900002986
L01,0,C0_bbc_core,TIME_LIMIT,True,26482.24701286552,887.5267227994697,0.966485973702749,116.98921202999392,176.12686123403682,57.783918599947356,247.42296420002822
L01,0,C2_core_aggregate,TIME_LIMIT,True,16456.941277774167,13963.88465510709,0.15148967117200948,3.401128986116668,26.845413961989685,64.64593659993261,242.75005979998969
L01,0,C5_both_lb_warm,TIME_LIMIT,True,16456.941277774167,13963.88465510709,0.15148967117200948,2.761301424657214,21.298180180698196,101.2620974999154,245.5974348000018
L01,0,C6_both_lb_warm_alns,TIME_LIMIT,True,16456.941277774167,13963.88465510709,0.15148967117200948,2.7679489787084535,21.370401568548303,100.77520270005334,244.98449060006533
L01,0,C8_both_lb_root_warm_alns_valid,TIME_LIMIT,True,16240.85342581697,13968.399995363377,0.13992204540441383,0.7539984247877639,16.555155434712212,123.3595005000243,242.85256879997905
L01,1,C0_bbc_core,TIME_LIMIT,True,26529.326931013038,887.5923069984797,0.9665429767854052,122.24301702146798,184.26972148558323,49.3563047000207,243.31693390000146
L01,1,C2_core_aggregate,TIME_LIMIT,True,16442.42573703112,13966.218775172763,0.15059864045981494,3.524503012999322,25.86607667963046,72.53033380000852,243.1740514000412
L01,1,C5_both_lb_warm,TIME_LIMIT,True,16442.42573703112,13963.88465510709,0.1507405976200907,2.9061894401750874,20.00550125672764,111.56498079991434,243.08659670001362
L01,1,C6_both_lb_warm_alns,TIME_LIMIT,True,16442.42573703112,13963.88465510709,0.1507405976200907,2.917745559576582,20.18814497939591,110.30181849992368,243.06403700006194
L01,1,C8_both_lb_root_warm_alns_valid,TIME_LIMIT,True,16174.457753864575,13968.399995363361,0.1363914507720742,0.09105631706716058,14.990509397654034,130.66567859996576,244.67936959990766
