component_comparison,candidate,baseline,pairs,wins,ties,losses,win_rate,paired_mean,paired_median,bootstrap_95_ci_low,bootstrap_95_ci_high,candidate_feasible_rate,baseline_feasible_rate,mean_runtime_improvement,median_runtime_improvement,mean_ub_improvement,mean_lb_improvement,mean_gap_improvement,mean_primal_integral_improvement,mean_gap_integral_improvement,mean_time_to_first_feasible_improvement,median_ub_improvement,median_lb_improvement,median_gap_improvement,median_primal_integral_improvement,median_gap_integral_improvement,median_time_to_first_feasible_improvement
aggregate,C2_core_aggregate,C0_bbc_core,6,6,0,0,1.0,0.819014153550747,0.8486634952620434,0.7742180268586804,0.8622668491184642,1.0,1.0,0.0032567540721827755,0.00010312644852948375,0.23351558818726476,9.912949560468878,0.8787796363395209,0.8256813174854613,0.8630406551185041,-0.16703771379484067,0.240048589352107,9.915156540296348,0.8881422417156577,0.9128980935752224,0.8591466904515208,-0.10254752619485526
warm_bundle,C5_both_lb_warm,C2_core_aggregate,9,3,3,3,0.3333333333333333,-0.0727300088077459,0.0,-0.22742871586798788,0.0731858897245141,1.0,1.0,-0.001321612524762429,-0.00011940736724189173,-0.013566530155862393,-0.00013299246857935415,-0.07666371767537748,-0.392062844415016,0.1394052551589984,-6.242080833885998,-0.0,0.0,-0.0,0.18812211006145774,0.20663617961510278,-7.106167969303526
alns,C6_both_lb_warm_alns,C5_both_lb_warm,9,4,5,0,0.4444444444444444,0.046467724663454626,0.0,0.008638505835968938,0.08557558600020551,1.0,1.0,-8.308098768258407e-05,0.00013438321116144178,0.0074895809821841726,-0.0016746297370904585,0.061698103789516526,0.23324651086994644,0.27531765780326006,-0.01410758734252879,-0.0,-0.002198179820806021,-0.0,0.03337172109270237,0.3514373017939846,-0.0016663794894049024
root_valid_bundle,C8_both_lb_root_warm_alns_valid,C6_both_lb_warm_alns,6,4,1,1,0.6666666666666666,0.010131036907178625,0.022329432331808327,-0.027110564877653034,0.04093947949225259,1.0,1.0,-0.0040414740294513335,-0.00010471797067051245,0.01004480248867695,0.0027568156064642388,0.08944252291235956,0.33532249380557094,-0.3623608306787248,0.059308695187706185,0.007322423166964218,0.002409320310699528,0.08577508112657657,0.30071510027711396,-0.40835319394944014,-0.20436257288738402
